Tiempo: 0.0, Theta: 1.0, dTheta: 0.0
Tiempo: 2.6926926926926926, Theta: -0.7670946837260554, dTheta: -0.381923423204329
Tiempo: 2.7027027027027026, Theta: -0.7708810629578853, dTheta: -0.3738451749592114
Tiempo: 2.7127127127127126, Theta: -0.7745873429304145, dTheta: -0.36573704829522874
Tiempo: 2.7227227227227226, Theta: -0.7782131656159599, dTheta: -0.3575999514566173
Tiempo: 2.7327327327327327, Theta: -0.7817581830982056, dTheta: -0.3494347909601985
Tiempo: 2.7427427427427427, Theta: -0.7852220575722034, dTheta: -0.3412424715953787
Tiempo: 2.7527527527527527, Theta: -0.7886044613443729, dTheta: -0.3330238964241493
Tiempo: 2.7627627627627627, Theta: -0.7919050768325013, dTheta: -0.3247799667810867
Tiempo: 2.7727727727727727, Theta: -0.7951235965657436, dTheta: -0.31651158227335263
Tiempo: 2.7827827827827827, Theta: -0.7982597231846221, dTheta: -0.3082196407806934
Tiempo: 2.7927927927927927, Theta: -0.801313169441027, dTheta: -0.2999050384554407
Tiempo: 2.8028028028028027, Theta: -0.8042836581982161, dTheta: -0.2915686697225112
Tiempo: 2.8128128128128127, Theta: -0.8071709224308149, dTheta: -0.28321142727940657
Tiempo: 2.8228228228228227, Theta: -0.8099747052248164, dTheta: -0.2748342020962134
Tiempo: 2.8328328328328327, Theta: -0.8126947597775813, dTheta: -0.2664378834156036
Tiempo: 2.8428428428428427, Theta: -0.8153308493978382, dTheta: -0.2580233587528339
Tiempo: 2.8528528528528527, Theta: -0.8178827475056829, dTheta: -0.24959151389574602
Tiempo: 2.8628628628628627, Theta: -0.8203502376325793, dTheta: -0.241143232904767
Tiempo: 2.8728728728728727, Theta: -0.8227331134213586, dTheta: -0.23267939811290875
Tiempo: 2.8828828828828827, Theta: -0.8250311786262198, dTheta: -0.22420089012576813
Tiempo: 2.8928928928928928, Theta: -0.8272442471127296, dTheta: -0.2157085878215272
Tiempo: 2.9029029029029028, Theta: -0.8293721428578222, dTheta: -0.20720336835095296
Tiempo: 2.9129129129129128, Theta: -0.8314146999497997, dTheta: -0.1986861071373975
Tiempo: 2.9229229229229228, Theta: -0.8333717625883315, dTheta: -0.19015767787679802
Tiempo: 2.932932932932933, Theta: -0.8352431850844548, dTheta: -0.1816189525376765
Tiempo: 2.942942942942943, Theta: -0.8370288318605748, dTheta: -0.17307080136114028
Tiempo: 2.952952952952953, Theta: -0.8387285774504637, dTheta: -0.1645140928608816
Tiempo: 2.962962962962963, Theta: -0.8403423064992618, dTheta: -0.15594969382317764
Tiempo: 2.972972972972973, Theta: -0.841869913763477, dTheta: -0.14737846930689086
Tiempo: 2.982982982982983, Theta: -0.8433113041109846, dTheta: -0.13880128264346853
Tiempo: 2.992992992992993, Theta: -0.844666392521028, dTheta: -0.13021899543694304
Tiempo: 3.003003003003003, Theta: -0.8459351040842179, dTheta: -0.12163246756393176
Tiempo: 3.013013013013013, Theta: -0.8471173740025326, dTheta: -0.11304255717363743
Tiempo: 3.023023023023023, Theta: -0.8482131475893182, dTheta: -0.10445012068784737
Tiempo: 3.033033033033033, Theta: -0.8492223802692885, dTheta: -0.09585601280093414
Tiempo: 3.043043043043043, Theta: -0.850145037578525, dTheta: -0.08726108647985548
Tiempo: 3.053053053053053, Theta: -0.8509810951644764, dTheta: -0.07866619296415389
Tiempo: 3.063063063063063, Theta: -0.8517305387859597, dTheta: -0.07007218176595714
Tiempo: 3.073073073073073, Theta: -0.852393364313159, dTheta: -0.06147990066997794
Tiempo: 3.083083083083083, Theta: -0.8529695777276265, dTheta: -0.052890195733514
Tiempo: 3.093093093093093, Theta: -0.8534591951222816, dTheta: -0.04430391128644817
Tiempo: 3.103103103103103, Theta: -0.8538622427014116, dTheta: -0.03572188993124836
